concept:name,time:timestamp,concept:resource,concept:instance,@@index,@@case_index,case:concept:name
Atualizacao de requisitos funcionais begin,2026-01-06 06:10:18+00:00,re7,1,2,0,Demanda 0001
Requisito r,2026-01-06 09:05:01+00:00,re7,1,38,0,Demanda 0001
Gestao c,2026-01-06 10:32:40+00:00,re7,1,39,0,Demanda 0001
Requisito r,2026-01-06 10:38:50+00:00,re7,1,40,0,Demanda 0001
Requisito d,2026-01-06 12:05:45+00:00,re7,1,41,0,Demanda 0001
Codigo r,2026-01-06 12:39:42+00:00,re7,1,42,0,Demanda 0001
PF r,2026-01-06 12:46:19+00:00,re7,1,43,0,Demanda 0001
Atualizacao de requisitos funcionais complete,2026-01-06 14:10:18+00:00,re7,1,15,0,Demanda 0001
TESTE ERRO begin,2026-01-05 22:10:25+00:00,re7,2,0,0,Demanda 0001
Gestao d,2026-01-06 00:07:06+00:00,re7,2,44,0,Demanda 0001
Requisito u,2026-01-06 02:23:30+00:00,re7,2,45,0,Demanda 0001
Requisito r,2026-01-06 02:36:50+00:00,re7,2,46,0,Demanda 0001
Requisito c,2026-01-06 03:28:17+00:00,re7,2,47,0,Demanda 0001
Codigo r,2026-01-06 06:01:58+00:00,re7,2,48,0,Demanda 0001
Requisito d,2026-01-06 10:54:17+00:00,re7,2,49,0,Demanda 0001
Gestao u,2026-01-06 13:44:02+00:00,re7,2,50,0,Demanda 0001
TESTE ERRO complete,2026-01-06 14:10:25+00:00,re7,2,16,0,Demanda 0001
Contagem de ponto de funcao begin,2026-01-06 06:26:06+00:00,re7,3,3,0,Demanda 0001
Gestao d,2026-01-06 07:42:01+00:00,re7,3,51,0,Demanda 0001
PF c,2026-01-06 09:02:45+00:00,re7,3,52,0,Demanda 0001
PF d,2026-01-06 09:07:21+00:00,re7,3,53,0,Demanda 0001
Gestao u,2026-01-06 09:13:50+00:00,re7,3,54,0,Demanda 0001
Gestao c,2026-01-06 11:03:42+00:00,re7,3,55,0,Demanda 0001
Contagem de ponto de funcao complete,2026-01-06 14:26:06+00:00,re7,3,17,0,Demanda 0001
Contagem de ponto de funcao begin,2026-01-06 06:42:28+00:00,re7,4,4,0,Demanda 0001
Gestao u,2026-01-06 08:00:06+00:00,re7,4,56,0,Demanda 0001
PF u,2026-01-06 08:11:22+00:00,re7,4,57,0,Demanda 0001
Gestao r,2026-01-06 08:51:49+00:00,re7,4,58,0,Demanda 0001
Codigo r,2026-01-06 10:03:33+00:00,re7,4,59,0,Demanda 0001
PF c,2026-01-06 10:43:16+00:00,re7,4,60,0,Demanda 0001
Requisito r,2026-01-06 12:32:56+00:00,re7,4,61,0,Demanda 0001
Gestao d,2026-01-06 14:21:34+00:00,re7,4,62,0,Demanda 0001
Contagem de ponto de funcao complete,2026-01-06 14:42:28+00:00,re7,4,19,0,Demanda 0001
Publicar solucao begin,2026-01-06 12:50:17+00:00,re7,5,11,0,Demanda 0001
Gestao c,2026-01-06 13:01:56+00:00,re7,5,63,0,Demanda 0001
Gestao u,2026-01-06 14:31:40+00:00,re7,5,64,0,Demanda 0001
Publicar solucao complete,2026-01-06 14:50:17+00:00,re7,5,20,0,Demanda 0001
Gestao da demanda begin,2026-01-06 13:12:43+00:00,re7,6,12,0,Demanda 0001
Gestao u,2026-01-06 15:08:04+00:00,re7,6,65,0,Demanda 0001
Gestao c,2026-01-06 15:09:43+00:00,re7,6,66,0,Demanda 0001
Gestao da demanda complete,2026-01-06 15:12:43+00:00,re7,6,22,0,Demanda 0001
Construcao de funcionalidade begin,2026-01-06 11:21:37+00:00,re7,7,6,0,Demanda 0001
Gestao d,2026-01-06 12:07:00+00:00,re7,7,67,0,Demanda 0001
Codigo d,2026-01-06 12:17:24+00:00,re7,7,68,0,Demanda 0001
Codigo u,2026-01-06 12:22:27+00:00,re7,7,69,0,Demanda 0001
Codigo c,2026-01-06 12:46:27+00:00,re7,7,70,0,Demanda 0001
Requisito r,2026-01-06 13:18:04+00:00,re7,7,71,0,Demanda 0001
Teste r,2026-01-06 13:23:10+00:00,re7,7,72,0,Demanda 0001
Gestao r,2026-01-06 13:58:59+00:00,re7,7,73,0,Demanda 0001
Gestao u,2026-01-06 14:12:20+00:00,re7,7,74,0,Demanda 0001
Construcao de funcionalidade complete,2026-01-06 15:21:37+00:00,re7,7,23,0,Demanda 0001
Contagem de ponto de funcao begin,2026-01-06 13:25:46+00:00,re7,8,13,0,Demanda 0001
Gestao u,2026-01-06 13:31:41+00:00,re7,8,75,0,Demanda 0001
Requisito r,2026-01-06 13:45:56+00:00,re7,8,76,0,Demanda 0001
PF r,2026-01-06 13:50:14+00:00,re7,8,77,0,Demanda 0001
PF c,2026-01-06 14:04:55+00:00,re7,8,78,0,Demanda 0001
Codigo r,2026-01-06 14:12:26+00:00,re7,8,79,0,Demanda 0001
Gestao c,2026-01-06 14:19:39+00:00,re7,8,80,0,Demanda 0001
PF u,2026-01-06 15:15:19+00:00,re7,8,81,0,Demanda 0001
PF d,2026-01-06 15:25:09+00:00,re7,8,82,0,Demanda 0001
