;case:concept:name;concept:tool;concept:operation;time:timestamp;concept:resource
0;1;Requisito;U;2025-10-09 05:45:30.960460011;re5
1;1;Codigo;r;2025-10-09 02:12:54.173084320;re8
2;1;Requisito;C;2025-10-09 02:12:54.173084320;re8
3;1;Requisito;r;2025-10-09 02:12:54.173084320;re8
4;1;Requisito;u;2025-10-09 02:12:54.173084320;re8
5;1;Requisito;d;2025-10-09 02:12:54.173084320;re8
6;1;Teste;r;2025-10-09 02:12:54.173084320;re8
7;1;Teste;C;2025-10-09 08:12:14.004336706;re7
8;1;Requisito;r;2025-10-08 22:25:06.633657404;re6
9;1;Teste;r;2025-10-08 22:25:06.633657404;re6
10;1;Codigo;r;2025-10-08 23:42:53.933332542;re9
11;1;Codigo;U;2025-10-08 23:42:53.933332542;re9
12;1;Codigo;d;2025-10-08 23:42:53.933332542;re9
13;1;Requisito;r;2025-10-08 23:42:53.933332542;re9
14;1;Teste;r;2025-10-08 23:42:53.933332542;re9
15;1;Requisito;r;2025-10-08 23:56:46.150204172;re7
16;1;Teste;r;2025-10-08 23:56:46.150204172;re7
17;1;Codigo;U;2025-10-09 05:26:07.407378360;re9
18;1;Codigo;C;2025-10-09 00:51:36.725904913;re6
19;1;Codigo;r;2025-10-09 00:51:36.725904913;re6
20;1;Codigo;u;2025-10-09 00:51:36.725904913;re6
21;1;Codigo;d;2025-10-09 00:51:36.725904913;re6
22;1;Requisito;r;2025-10-09 00:51:36.725904913;re6
23;1;Teste;r;2025-10-09 00:51:36.725904913;re6
24;1;PF;C;2025-10-09 00:29:56.734445816;re7
25;2;Requisito;C;2025-10-08 19:01:49.176931179;re7
26;2;Codigo;r;2025-10-08 21:13:12.054473870;re7
27;2;Requisito;r;2025-10-08 21:13:12.054473870;re7
28;2;Teste;C;2025-10-08 21:13:12.054473870;re7
29;2;Teste;r;2025-10-08 21:13:12.054473870;re7
30;2;Teste;u;2025-10-08 21:13:12.054473870;re7
31;2;Teste;d;2025-10-08 21:13:12.054473870;re7
32;2;Codigo;r;2025-10-08 18:10:23.546803821;re7
33;2;Requisito;r;2025-10-08 18:10:23.546803821;re7
34;2;Teste;r;2025-10-08 18:10:23.546803821;re7
35;2;Teste;u;2025-10-08 18:10:23.546803821;re7
36;2;Codigo;U;2025-10-08 20:15:35.140429234;re11
37;2;Requisito;r;2025-10-08 19:13:47.774390352;re7
38;2;PF;r;2025-10-08 19:13:47.774390352;re7
39;2;Teste;r;2025-10-08 19:13:47.774390352;re7
40;2;Codigo;c;2025-10-08 21:58:01.848033685;re7
41;2;Codigo;r;2025-10-08 21:58:01.848033685;re7
42;2;Codigo;U;2025-10-08 21:58:01.848033685;re7
43;2;Codigo;d;2025-10-08 21:58:01.848033685;re7
44;2;Requisito;r;2025-10-08 21:58:01.848033685;re7
45;2;Teste;r;2025-10-08 21:58:01.848033685;re7
46;2;Codigo;C;2025-10-09 06:03:06.546267140;re11
47;2;Codigo;r;2025-10-08 20:06:50.320705051;re11
48;2;Requisito;r;2025-10-08 20:06:50.320705051;re11
49;2;PF;C;2025-10-08 20:06:50.320705051;re11
50;2;PF;r;2025-10-08 20:06:50.320705051;re11
51;2;PF;u;2025-10-08 20:06:50.320705051;re11
52;2;PF;d;2025-10-08 20:06:50.320705051;re11
53;2;Requisito;U;2025-10-08 22:08:00.448622747;re7
54;3;Requisito;C;2025-10-08 16:49:56.008704548;re7
55;3;Codigo;r;2025-10-08 14:56:37.122903994;re11
56;3;Requisito;r;2025-10-08 14:56:37.122903994;re11
57;3;Teste;C;2025-10-08 14:56:37.122903994;re11
58;3;Teste;r;2025-10-08 14:56:37.122903994;re11
59;3;Teste;u;2025-10-08 14:56:37.122903994;re11
60;3;Teste;d;2025-10-08 14:56:37.122903994;re11
61;3;Codigo;r;2025-10-08 15:27:53.698629272;re10
62;3;Requisito;r;2025-10-08 15:27:53.698629272;re10
63;3;Teste;r;2025-10-08 15:27:53.698629272;re10
64;3;Teste;u;2025-10-08 15:27:53.698629272;re10
65;3;Codigo;U;2025-10-08 17:06:29.236869416;re10
66;3;Requisito;r;2025-10-08 18:07:42.827375199;re7
67;3;PF;r;2025-10-08 18:07:42.827375199;re7
68;3;Teste;r;2025-10-08 18:07:42.827375199;re7
69;3;Codigo;C;2025-10-09 05:12:07.270114268;re10
70;3;Codigo;r;2025-10-09 05:12:07.270114268;re10
71;3;Codigo;u;2025-10-09 05:12:07.270114268;re10
72;3;Codigo;d;2025-10-09 05:12:07.270114268;re10
73;3;Requisito;r;2025-10-09 05:12:07.270114268;re10
74;3;Teste;r;2025-10-09 05:12:07.270114268;re10
75;3;PF;C;2025-10-08 16:54:16.275127222;re10
76;3;Codigo;r;2025-10-08 13:23:38.827014651;re11
77;3;Requisito;r;2025-10-08 13:23:38.827014651;re11
78;3;Requisito;U;2025-10-08 13:23:38.827014651;re11
79;3;Requisito;d;2025-10-08 13:23:38.827014651;re11
80;3;Teste;r;2025-10-08 13:23:38.827014651;re11
81;4;Requisito;C;2025-10-08 19:38:21.890684749;re9
82;4;Codigo;r;2025-10-08 20:10:13.550401678;re8
83;4;Requisito;r;2025-10-08 20:10:13.550401678;re8
84;4;Teste;C;2025-10-08 20:10:13.550401678;re8
85;4;Teste;r;2025-10-08 20:10:13.550401678;re8
86;4;Teste;u;2025-10-08 20:10:13.550401678;re8
87;4;Teste;d;2025-10-08 20:10:13.550401678;re8
88;4;Codigo;r;2025-10-08 11:24:09.230552685;re9
89;4;Requisito;r;2025-10-08 11:24:09.230552685;re9
90;4;Teste;r;2025-10-08 11:24:09.230552685;re9
91;4;Teste;u;2025-10-08 11:24:09.230552685;re9
92;4;Codigo;U;2025-10-09 14:21:51.565720632;re9
93;4;Requisito;r;2025-10-08 11:31:51.689552911;re9
94;4;PF;r;2025-10-08 11:31:51.689552911;re9
95;4;Teste;r;2025-10-08 11:31:51.689552911;re9
96;4;Codigo;C;2025-10-08 17:34:11.795441962;re8
97;4;Codigo;r;2025-10-08 12:46:50.484659833;re7
98;4;Requisito;r;2025-10-08 12:46:50.484659833;re7
99;4;PF;C;2025-10-08 12:46:50.484659833;re7
100;4;PF;r;2025-10-08 12:46:50.484659833;re7
101;4;PF;u;2025-10-08 12:46:50.484659833;re7
102;4;PF;d;2025-10-08 12:46:50.484659833;re7
103;4;Requisito;U;2025-10-08 11:12:38.807599281;re7
104;5;Requisito;C;2025-10-08 05:12:23.798357653;re3
105;5;Codigo;r;2025-10-08 06:08:45.083243595;re4
106;5;Requisito;r;2025-10-08 06:08:45.083243595;re4
107;5;Teste;C;2025-10-08 06:08:45.083243595;re4
108;5;Teste;r;2025-10-08 06:08:45.083243595;re4
109;5;Teste;u;2025-10-08 06:08:45.083243595;re4
110;5;Teste;d;2025-10-08 06:08:45.083243595;re4
111;5;Codigo;r;2025-10-08 06:38:52.908836749;re4
112;5;Requisito;r;2025-10-08 06:38:52.908836749;re4
113;5;Teste;r;2025-10-08 06:38:52.908836749;re4
114;5;Teste;u;2025-10-08 06:38:52.908836749;re4
115;5;Codigo;U;2025-10-08 08:14:18.544119889;re2
116;5;Requisito;r;2025-10-08 07:42:14.915641471;re2
117;5;PF;r;2025-10-08 07:42:14.915641471;re2
118;5;Teste;r;2025-10-08 07:42:14.915641471;re2
119;5;Codigo;C;2025-10-08 10:11:44.061268815;re3
120;5;Codigo;r;2025-10-08 10:11:44.061268815;re3
121;5;Codigo;u;2025-10-08 10:11:44.061268815;re3
122;5;Codigo;d;2025-10-08 10:11:44.061268815;re3
123;5;Requisito;r;2025-10-08 10:11:44.061268815;re3
124;5;Teste;r;2025-10-08 10:11:44.061268815;re3
125;5;Codigo;C;2025-10-08 15:15:32.117252193;re1
126;5;Codigo;r;2025-10-08 09:30:48.744670385;re3
127;5;Requisito;r;2025-10-08 09:30:48.744670385;re3
128;5;PF;C;2025-10-08 09:30:48.744670385;re3
129;5;PF;r;2025-10-08 09:30:48.744670385;re3
130;5;PF;u;2025-10-08 09:30:48.744670385;re3
131;5;PF;d;2025-10-08 09:30:48.744670385;re3
132;5;Codigo;r;2025-10-08 19:20:51.817371305;re1
133;5;Requisito;r;2025-10-08 19:20:51.817371305;re1
134;5;Requisito;U;2025-10-08 19:20:51.817371305;re1
135;5;Requisito;d;2025-10-08 19:20:51.817371305;re1
136;5;Teste;r;2025-10-08 19:20:51.817371305;re1
137;6;Requisito;C;2025-10-08 01:47:27.144827756;re11
