;case:concept:name;concept:tool;concept:operation;time:timestamp;concept:resource;case:instance
0;1;Gestao;r;2026-01-06 13:07:02.986717805+00:00;re1;1
1;1;Gestao;U;2026-01-06 12:48:08.598852844+00:00;re1;1
2;1;Requisito;r;2026-01-06 12:15:05.854121656+00:00;re1;1
3;1;Requisito;U;2026-01-06 12:13:08.534710332+00:00;re1;1
4;1;Requisito;d;2026-01-06 13:06:30.251935233+00:00;re1;1
5;1;Gestao;U;2026-01-06 11:10:01.081990934+00:00;re4;2
6;1;Requisito;C;2026-01-06 12:42:25.625078942+00:00;re4;2
7;1;Requisito;r;2026-01-06 11:52:36.185011113+00:00;re4;2
8;1;Requisito;u;2026-01-06 13:42:08.571367930+00:00;re4;2
9;1;Requisito;d;2026-01-06 11:26:59.291478564+00:00;re4;2
10;1;Gestao;r;2026-01-06 10:27:05.044330486+00:00;re2;3
11;1;Gestao;U;2026-01-06 10:43:33.701483840+00:00;re2;3
12;1;Codigo;r;2026-01-06 11:32:15.290127713+00:00;re2;3
13;1;Requisito;r;2026-01-06 12:08:36.084978676+00:00;re2;3
14;1;PF;C;2026-01-06 14:20:11.747766669+00:00;re2;3
15;1;PF;r;2026-01-06 10:50:43.911023078+00:00;re2;3
16;1;PF;d;2026-01-06 10:40:51.373479743+00:00;re2;3
17;1;Gestao;c;2026-01-06 13:58:33.178355237+00:00;re2;4
18;1;Gestao;U;2026-01-06 14:01:09.384524918+00:00;re2;4
19;1;Codigo;r;2026-01-06 13:23:01.163140114+00:00;re2;4
20;1;PF;C;2026-01-06 14:04:52.192978204+00:00;re2;4
21;1;PF;u;2026-01-06 13:56:07.057660532+00:00;re2;4
22;1;PF;d;2026-01-06 12:56:19.864116967+00:00;re2;4
23;1;Gestao;c;2026-01-06 12:59:41.785799864+00:00;re1;5
24;1;Gestao;U;2026-01-06 14:27:50.169657800+00:00;re1;5
25;1;Gestao;U;2026-01-06 14:03:16.457429145+00:00;re3;6
26;1;Gestao;c;2026-01-06 14:55:22.255679852+00:00;re3;7
27;1;Gestao;U;2026-01-06 13:24:47.457425676+00:00;re3;7
28;1;Gestao;d;2026-01-06 15:03:50.512229410+00:00;re3;7
29;1;Codigo;C;2026-01-06 12:21:40.864312530+00:00;re3;7
30;1;Codigo;r;2026-01-06 13:23:37.571238441+00:00;re3;7
31;1;Gestao;c;2026-01-06 15:10:18.644232808+00:00;re2;8
32;1;Gestao;U;2026-01-06 14:35:50.120806458+00:00;re2;8
33;1;PF;C;2026-01-06 14:31:52.244558356+00:00;re2;8
34;1;PF;r;2026-01-06 14:28:54.705538012+00:00;re2;8
35;1;PF;d;2026-01-06 15:08:17.780205077+00:00;re2;8
36;1;Gestao;r;2026-01-06 09:38:25.568882190+00:00;re2;9
37;1;Gestao;U;2026-01-06 08:03:28.020347170+00:00;re2;9
38;1;Gestao;d;2026-01-06 11:11:53.105266956+00:00;re2;9
39;1;Requisito;r;2026-01-06 13:14:02.099892752+00:00;re2;9
40;1;PF;C;2026-01-06 13:11:37.025204201+00:00;re2;9
41;1;PF;r;2026-01-06 10:54:38.720469156+00:00;re2;9
42;1;PF;u;2026-01-06 12:38:44.889221366+00:00;re2;9
43;1;Gestao;c;2026-01-06 11:26:26.784536625+00:00;re1;10
44;1;Gestao;r;2026-01-06 11:05:43.614465216+00:00;re1;10
45;1;Gestao;U;2026-01-06 05:29:06.295967073+00:00;re1;10
46;1;Codigo;U;2026-01-06 04:54:27.228967534+00:00;re1;10
47;1;Gestao;c;2026-01-06 14:11:21.033660071+00:00;re2;11
48;1;Gestao;r;2026-01-06 15:35:22.966049535+00:00;re2;11
49;1;Gestao;U;2026-01-06 14:24:59.890033086+00:00;re2;11
50;1;Requisito;r;2026-01-06 14:54:25.678456011+00:00;re2;11
51;1;Gestao;c;2026-01-06 15:51:21.190190781+00:00;re3;12
52;1;Gestao;r;2026-01-06 15:41:09.045018508+00:00;re3;12
53;1;Gestao;U;2026-01-06 15:17:24.234013785+00:00;re3;12
54;1;Gestao;d;2026-01-06 15:07:16.881832755+00:00;re3;12
55;1;Gestao;U;2026-01-06 15:18:21.568695774+00:00;re4;13
56;1;Gestao;d;2026-01-06 15:58:31.531866815+00:00;re4;13
57;1;PF;C;2026-01-06 15:14:49.816087937+00:00;re4;13
