;concept:name;lifecycle:transition;time:timestamp;case:concept:name;concept:resource;concept:instance
0;Atualizacao de requisitos funcionais;begin;2026-01-06 02:10:18.751000+00:00;Demanda 0001;re7;1
1;Atualizacao de requisitos funcionais;complete;2026-01-06 14:10:18.751000+00:00;Demanda 0001;re7;1
2;Documentacao de requisitos funcionais;begin;2026-01-06 10:10:25.751000+00:00;Demanda 0001;re6;2
3;Documentacao de requisitos funcionais;complete;2026-01-06 14:10:25.751000+00:00;Demanda 0001;re6;2
4;Contagem de ponto de funcao;begin;2026-01-06 06:26:06.751000+00:00;Demanda 0001;re6;3
5;Contagem de ponto de funcao;complete;2026-01-06 14:26:06.751000+00:00;Demanda 0001;re6;3
6;Contagem de ponto de funcao;begin;2026-01-06 13:42:28.751000+00:00;Demanda 0001;re7;4
7;Contagem de ponto de funcao;complete;2026-01-06 14:42:28.751000+00:00;Demanda 0001;re7;4
8;Publicar solucao;begin;2026-01-06 10:50:17.751000+00:00;Demanda 0001;re5;5
9;Publicar solucao;complete;2026-01-06 14:50:17.751000+00:00;Demanda 0001;re5;5
10;Gestao da demanda;begin;2026-01-06 07:12:43.751000+00:00;Demanda 0001;re7;6
11;Gestao da demanda;complete;2026-01-06 15:12:43.751000+00:00;Demanda 0001;re7;6
12;Construcao de funcionalidade;begin;2026-01-06 03:21:37.751000+00:00;Demanda 0001;re5;7
13;Construcao de funcionalidade;complete;2026-01-06 15:21:37.751000+00:00;Demanda 0001;re5;7
14;Contagem de ponto de funcao;begin;2026-01-06 14:25:46.751000+00:00;Demanda 0001;re7;8
15;Contagem de ponto de funcao;complete;2026-01-06 15:25:46.751000+00:00;Demanda 0001;re7;8
16;Contagem de ponto de funcao;begin;2026-01-06 13:30:52.751000+00:00;Demanda 0001;re5;9
17;Contagem de ponto de funcao;complete;2026-01-06 15:30:52.751000+00:00;Demanda 0001;re5;9
18;Manutencao de funcionalidade;begin;2026-01-06 03:40:51.751000+00:00;Demanda 0001;re9;10
19;Manutencao de funcionalidade;complete;2026-01-06 15:40:51.751000+00:00;Demanda 0001;re9;10
20;Planejamento de entrega;begin;2026-01-06 11:42:10.751000+00:00;Demanda 0001;re9;11
